dt,o,h,l,c,vol
2017-03-18 05:00:00, 1200.0, 1200.0, 1056.24, 1072.16, 11312072
2017-03-19 05:00:00, 1072.16, 1111.64, 942.52, 981.67, 18578866
2017-03-20 05:00:00, 981.67, 1066.24, 972.7, 1025.81, 4733861
2017-03-21 05:00:00, 1025.81, 1068.81, 1021.97, 1041.33, 2235281
2017-03-22 05:00:00, 1041.33, 1120.0, 1041.34, 1110.89, 2724707
2017-03-23 05:00:00, 1110.89, 1111.64, 975.64, 1033.7, 10473508
2017-03-24 05:00:00, 1033.7, 1048.5, 1005.75, 1024.8, 2777058
2017-03-25 05:00:00, 1024.8, 1024.87, 910.03, 932.39, 7876526
2017-03-26 05:00:00, 932.39, 970.5, 880.65, 964.99, 5130105
2017-03-27 05:00:00, 964.99, 1002.39, 940.7, 981.2, 3175245
2017-03-28 05:00:00, 981.2, 1055.08, 969.01, 1049.3, 3956172
2017-03-29 05:00:00, 1049.3, 1070.0, 1026.44, 1052.82, 3488943
2017-03-30 05:00:00, 1052.82, 1092.4, 1007.92, 1054.92, 6349144
2017-03-31 05:00:00, 1054.92, 1069.16, 1026.05, 1043.3, 3149223
2017-04-01 05:00:00, 1043.3, 1107.4, 1041.44, 1092.0, 6929347
2017-04-02 05:00:00, 1092.0, 1119.8, 1074.0, 1104.0, 3228199
2017-04-03 05:00:00, 1104.0, 1124.0, 1091.1, 1113.1, 3136900
2017-04-04 05:00:00, 1113.1, 1159.9, 1112.2, 1148.5, 3231310
2017-04-05 05:00:00, 1148.5, 1161.4, 1113.6, 1139.8, 4592852
2017-04-06 05:00:00, 1139.8, 1140.0, 1088.0, 1127.5, 4410906
2017-04-07 05:00:00, 1127.5, 1199.0, 1127.3, 1183.0, 6216100
2017-04-08 05:00:00, 1183.0, 1194.0, 1163.5, 1171.7, 4458350
2017-04-09 05:00:00, 1171.7, 1180.0, 1145.6, 1160.9, 2752673
2017-04-10 05:00:00, 1160.9, 1225.0, 1153.9, 1210.8, 4100343
2017-04-11 05:00:00, 1210.8, 1225.9, 1191.1, 1210.3, 3266050
2017-04-12 05:00:00, 1210.3, 1244.0, 1186.3, 1214.4, 3946924
2017-04-13 05:00:00, 1214.4, 1218.8, 1186.3, 1204.8, 3197664
2017-04-14 05:00:00, 1204.8, 1211.5, 1134.1, 1161.5, 5672491
2017-04-15 05:00:00, 1161.5, 1193.1, 1158.7, 1184.7, 2074668
