dt,o,h,l,c,vol
2017-06-17 05:00:00, 2850.0, 2850.0, 2437.4, 2549.9, 2416842
2017-06-18 05:00:00, 2549.9, 2769.8, 2470.0, 2721.8, 4063725
2017-06-19 05:00:00, 2721.8, 2753.5, 2588.1, 2664.0, 5574488
2017-06-20 05:00:00, 2664.0, 2809.9, 2585.0, 2718.2, 5003466
2017-06-21 05:00:00, 2718.2, 2949.1, 2733.7, 2905.9, 4888625
2017-06-22 05:00:00, 2905.9, 2995.9, 2750.0, 2822.4, 9663130
2017-06-23 05:00:00, 2822.4, 2893.0, 2709.7, 2849.8, 4737320
2017-06-24 05:00:00, 2849.8, 2898.0, 2801.1, 2834.5, 4488627
2017-06-25 05:00:00, 2834.5, 2899.0, 2575.5, 2646.2, 6631280
2017-06-26 05:00:00, 2646.2, 2721.4, 2501.8, 2602.8, 6589869
2017-06-27 05:00:00, 2602.8, 2661.9, 2417.5, 2529.5, 10897545
2017-06-28 05:00:00, 2529.5, 2556.7, 2150.0, 2549.0, 14521927
2017-06-29 05:00:00, 2549.0, 2620.0, 2450.0, 2570.2, 10119394
2017-06-30 05:00:00, 2570.2, 2620.0, 2503.8, 2547.8, 9686923
2017-07-01 05:00:00, 2547.8, 2575.4, 2440.0, 2457.6, 13469319
2017-07-02 05:00:00, 2457.6, 2498.5, 2391.0, 2419.6, 12942626
2017-07-03 05:00:00, 2419.6, 2522.6, 2364.6, 2496.4, 18658389
2017-07-04 05:00:00, 2496.4, 2641.8, 2476.0, 2601.4, 17496788
2017-07-05 05:00:00, 2601.4, 2746.2, 2601.4, 2678.2, 16362229
2017-07-06 05:00:00, 2678.2, 2694.5, 2596.0, 2661.1, 14232219
2017-07-07 05:00:00, 2661.1, 2680.2, 2625.0, 2656.3, 9742735
2017-07-08 05:00:00, 2656.3, 2659.9, 2487.6, 2527.1, 20624839
2017-07-09 05:00:00, 2527.1, 2575.0, 2476.9, 2574.0, 8982858
2017-07-10 05:00:00, 2574.0, 2582.9, 2513.1, 2517.9, 10059375
2017-07-11 05:00:00, 2517.9, 2534.8, 2267.5, 2328.8, 37327878
2017-07-12 05:00:00, 2328.8, 2392.2, 2249.9, 2291.1, 27025142
2017-07-13 05:00:00, 2291.1, 2411.8, 2216.3, 2389.8, 30009255
2017-07-14 05:00:00, 2389.8, 2419.0, 2290.5, 2325.6, 16143173
2017-07-15 05:00:00, 2325.6, 2345.8, 2127.5, 2202.7, 27406916
2017-07-16 05:00:00, 2202.7, 2212.7, 1984.7, 1999.4, 40304552
2017-07-17 05:00:00, 1999.4, 2080.1, 1828.7, 1987.7, 39375839
2017-07-18 05:00:00, 1987.7, 2279.7, 1972.5, 2264.9, 29878121
2017-07-19 05:00:00, 2264.9, 2397.0, 2188.7, 2308.9, 36092533
2017-07-20 05:00:00, 2308.9, 2420.0, 2244.0, 2295.8, 29733116
2017-07-21 05:00:00, 2295.8, 3005.0, 2295.7, 2938.9, 67987660
2017-07-22 05:00:00, 2938.9, 2959.1, 2650.0, 2714.2, 63173716
2017-07-23 05:00:00, 2714.2, 2966.6, 2681.5, 2902.5, 45519538
2017-07-24 05:00:00, 2902.5, 2949.0, 2688.8, 2789.1, 55628129
2017-07-25 05:00:00, 2789.1, 2859.7, 2720.0, 2813.2, 30581689
2017-07-26 05:00:00, 2813.2, 2849.8, 2461.0, 2581.7, 67714065
2017-07-27 05:00:00, 2581.7, 2637.3, 2375.1, 2530.4, 46932771
2017-07-28 05:00:00, 2530.4, 2684.6, 2491.5, 2664.7, 28988868
2017-07-29 05:00:00, 2664.7, 2799.6, 2641.9, 2768.0, 26102947
2017-07-30 05:00:00, 2768.0, 2769.7, 2624.3, 2663.9, 16113142
2017-07-31 05:00:00, 2663.9, 2693.7, 2521.2, 2669.4, 17622051
2017-08-01 05:00:00, 2669.4, 2839.5, 2610.5, 2806.5, 19419000
2017-08-02 05:00:00, 2806.5, 2883.8, 2501.8, 2705.8, 35429459
2017-08-03 05:00:00, 2705.8, 2742.4, 2630.4, 2690.0, 12715830
2017-08-04 05:00:00, 2690.0, 2795.0, 2675.0, 2771.7, 10435324
2017-08-05 05:00:00, 2771.7, 2870.0, 2749.3, 2849.1, 11415180
2017-08-06 05:00:00, 2849.1, 3447.0, 2837.1, 3392.6, 44562015
2017-08-07 05:00:00, 3392.6, 3430.0, 3237.2, 3327.1, 22723099
2017-08-08 05:00:00, 3327.1, 3527.0, 3277.6, 3465.2, 22152306
2017-08-09 05:00:00, 3465.2, 3555.0, 3376.0, 3470.7, 30688882
2017-08-10 05:00:00, 3470.7, 3487.6, 3278.5, 3381.4, 19240209
2017-08-11 05:00:00, 3381.4, 3495.0, 3345.0, 3421.0, 22065313
2017-08-12 05:00:00, 3421.0, 3789.0, 3396.9, 3697.9, 29181373
2017-08-13 05:00:00, 3697.9, 4060.0, 3657.5, 3947.7, 42174282
2017-08-14 05:00:00, 3947.7, 4229.5, 3870.0, 4121.0, 69768008
2017-08-15 05:00:00, 4121.0, 4445.3, 4020.0, 4413.0, 51773994
2017-08-16 05:00:00, 4413.0, 4495.4, 3914.5, 4206.1, 77716083
2017-08-17 05:00:00, 4206.1, 4475.0, 3950.0, 4467.4, 48454320
2017-08-18 05:00:00, 4467.4, 4617.6, 4220.1, 4320.0, 64643850
2017-08-19 05:00:00, 4320.0, 4434.7, 3966.5, 4125.5, 58439058
2017-08-20 05:00:00, 4125.5, 4260.1, 3970.0, 4209.0, 34630441
2017-08-21 05:00:00, 4209.0, 4247.0, 4078.4, 4134.5, 26655210
2017-08-22 05:00:00, 4134.5, 4169.0, 4020.2, 4057.3, 22664896
2017-08-23 05:00:00, 4057.3, 4222.6, 3528.8, 4162.7, 68799981
2017-08-24 05:00:00, 4162.7, 4335.8, 4109.9, 4205.6, 26862782
2017-08-25 05:00:00, 4205.6, 4437.0, 4152.7, 4389.3, 23707025
2017-08-26 05:00:00, 4389.3, 4529.0, 4335.0, 4418.3, 31737176
2017-08-27 05:00:00, 4418.3, 4430.9, 4265.8, 4374.1, 15603290
2017-08-28 05:00:00, 4374.1, 4450.0, 4340.0, 4401.1, 12942139
2017-08-29 05:00:00, 4401.1, 4445.0, 4170.0, 4429.9, 29032392
2017-08-30 05:00:00, 4429.9, 4830.1, 4340.2, 4675.0, 43943587
2017-08-31 05:00:00, 4675.0, 4773.0, 4532.1, 4628.0, 29159530
2017-09-01 05:00:00, 4628.0, 4835.7, 4621.8, 4767.1, 26850195
2017-09-02 05:00:00, 4767.1, 4990.0, 4720.7, 4990.0, 38528478
2017-09-03 05:00:00, 4990.0, 5082.0, 4492.8, 4647.1, 92505505
2017-09-04 05:00:00, 4647.1, 4764.9, 4391.1, 4618.9, 56506101
2017-09-05 05:00:00, 4618.9, 4634.9, 4125.0, 4297.5, 89009707
2017-09-06 05:00:00, 4297.5, 4497.6, 3889.9, 4432.0, 84370166
2017-09-07 05:00:00, 4432.0, 4667.1, 4410.0, 4607.4, 46280701
2017-09-08 05:00:00, 4607.4, 4684.1, 4467.5, 4607.4, 28783625
2017-09-09 05:00:00, 4607.4, 4697.9, 4075.1, 4274.6, 93642495
2017-09-10 05:00:00, 4274.6, 4372.3, 4126.6, 4316.8, 49805374
2017-09-11 05:00:00, 4316.8, 4315.0, 3885.3, 4199.0, 62642189
2017-09-12 05:00:00, 4199.0, 4345.0, 4085.1, 4177.0, 38201966
2017-09-13 05:00:00, 4177.0, 4344.5, 4000.0, 4082.4, 51139249
2017-09-14 05:00:00, 4082.4, 4080.6, 3694.0, 3820.1, 66532786
2017-09-15 05:00:00, 3820.1, 3878.7, 3186.4, 3210.4, 106033336
2017-09-16 05:00:00, 3210.4, 3823.0, 2950.0, 3690.0, 118663359
2017-09-17 05:00:00, 3690.0, 3869.0, 3490.4, 3673.9, 44904146
2017-09-18 05:00:00, 3673.9, 3802.5, 3458.2, 3690.7, 24532149
2017-09-19 05:00:00, 3690.7, 4133.6, 3693.1, 4106.9, 30836363
2017-09-20 05:00:00, 4106.9, 4127.8, 3831.2, 3888.0, 27410171
