dt,o,h,l,c,vol
2017-09-15 05:00:00, 3900.0, 4199.5, 3275.5, 3365.0, 13642095
2017-09-16 05:00:00, 3365.0, 3845.0, 3010.0, 3714.8, 26525657
2017-09-17 05:00:00, 3714.8, 3915.0, 3455.0, 3683.9, 12358304
2017-09-18 05:00:00, 3683.9, 3824.0, 3491.3, 3715.8, 8569644
2017-09-19 05:00:00, 3715.8, 4179.5, 3718.2, 4121.4, 16371514
2017-09-20 05:00:00, 4121.4, 4138.0, 3845.0, 3900.1, 10345656
2017-09-21 05:00:00, 3900.1, 4070.0, 3816.7, 3867.7, 10534532
2017-09-22 05:00:00, 3867.7, 3910.0, 3495.8, 3601.2, 15659301
2017-09-23 05:00:00, 3601.2, 3746.4, 3495.5, 3598.0, 13425767
2017-09-24 05:00:00, 3598.0, 3810.0, 3530.5, 3782.1, 8130569
2017-09-25 05:00:00, 3782.1, 3789.8, 3599.0, 3642.0, 5588431
2017-09-26 05:00:00, 3642.0, 3982.9, 3639.0, 3945.9, 15666565
2017-09-27 05:00:00, 3945.9, 4006.2, 3887.6, 3902.3, 10198242
2017-09-28 05:00:00, 3902.3, 4243.2, 3899.2, 4212.7, 20195415
2017-09-29 05:00:00, 4212.7, 4297.5, 4144.1, 4224.7, 18870023
2017-09-30 05:00:00, 4224.7, 4278.6, 4090.0, 4215.8, 29016558
2017-10-01 05:00:00, 4215.8, 4422.0, 4203.7, 4383.6, 29409575
2017-10-02 05:00:00, 4383.6, 4477.9, 4269.9, 4462.9, 32934954
2017-10-03 05:00:00, 4462.9, 4503.7, 4384.2, 4425.5, 28316955
2017-10-04 05:00:00, 4425.5, 4466.4, 4210.0, 4307.3, 40323795
2017-10-05 05:00:00, 4307.3, 4331.2, 4121.3, 4197.0, 32063510
2017-10-06 05:00:00, 4197.0, 4376.2, 4115.2, 4318.0, 39885023
2017-10-07 05:00:00, 4318.0, 4442.8, 4300.0, 4384.7, 34368907
2017-10-08 05:00:00, 4384.7, 4518.1, 4313.7, 4487.0, 20031492
2017-10-09 05:00:00, 4487.0, 4675.0, 4460.0, 4653.1, 33899966
2017-10-10 05:00:00, 4653.1, 4924.8, 4581.9, 4848.8, 73045579
2017-10-11 05:00:00, 4848.8, 5040.4, 4769.6, 4853.1, 81609354
2017-10-12 05:00:00, 4853.1, 5000.0, 4771.7, 4909.7, 61166738
2017-10-13 05:00:00, 4909.7, 5774.0, 4880.0, 5717.7, 190784589
2017-10-14 05:00:00, 5717.7, 6290.0, 5599.9, 5955.8, 212111362
2017-10-15 05:00:00, 5955.8, 6331.8, 5840.8, 6317.2, 105853918
2017-10-16 05:00:00, 6317.2, 6342.0, 5750.0, 6064.5, 161760474
2017-10-17 05:00:00, 6064.5, 6249.8, 5835.0, 6129.7, 95214664
2017-10-18 05:00:00, 6129.7, 6159.3, 5651.0, 5759.8, 114681809
2017-10-19 05:00:00, 5759.8, 5770.0, 5140.4, 5714.5, 208764643
2017-10-20 05:00:00, 5714.5, 5960.0, 5652.5, 5898.9, 85908083
2017-10-21 05:00:00, 5898.9, 6497.5, 5710.0, 6300.0, 168297857
2017-10-22 05:00:00, 6300.0, 6520.1, 5601.1, 6099.9, 159716706
2017-10-23 05:00:00, 6099.9, 6171.4, 5711.5, 6050.6, 165147581
2017-10-24 05:00:00, 6050.6, 6143.0, 5609.8, 5805.0, 164840892
2017-10-25 05:00:00, 5805.0, 5807.2, 5363.9, 5470.0, 183600976
2017-10-26 05:00:00, 5470.0, 5752.5, 5322.3, 5733.8, 119345123
2017-10-27 05:00:00, 5733.8, 6032.0, 5661.7, 5855.0, 118069424
2017-10-28 05:00:00, 5855.0, 6000.7, 5519.1, 5642.0, 112957204
2017-10-29 05:00:00, 5642.0, 5767.9, 5313.7, 5407.5, 91598292
2017-10-30 05:00:00, 5407.5, 6400.0, 5367.5, 6108.9, 185918204
2017-10-31 05:00:00, 6108.9, 6195.0, 5711.0, 5935.8, 143063470
2017-11-01 05:00:00, 5935.8, 6434.6, 5830.1, 6244.8, 153644052
2017-11-02 05:00:00, 6244.8, 6400.0, 6057.3, 6280.0, 137101854
2017-11-03 05:00:00, 6280.0, 6914.8, 6080.7, 6454.5, 148580399
2017-11-04 05:00:00, 6454.5, 7059.8, 6352.0, 6641.6, 112509627
2017-11-05 05:00:00, 6641.6, 7103.0, 6421.7, 6898.3, 80521380
2017-11-06 05:00:00, 6898.3, 7294.6, 6767.0, 6897.1, 80173406
2017-11-07 05:00:00, 6897.1, 6944.6, 6289.6, 6369.0, 95428710
2017-11-08 05:00:00, 6369.0, 6697.3, 6331.7, 6557.6, 52645645
2017-11-09 05:00:00, 6557.6, 10000.0, 6503.3, 7526.3, 201768869
2017-11-10 05:00:00, 7526.3, 7529.2, 7021.0, 7151.0, 85704605
2017-11-11 05:00:00, 7151.0, 7391.0, 6460.0, 6582.5, 153029447
2017-11-12 05:00:00, 6582.5, 6804.0, 6230.0, 6369.0, 149984477
2017-11-13 05:00:00, 6369.0, 6449.0, 5366.0, 5866.5, 258125142
2017-11-14 05:00:00, 5866.5, 6685.0, 5825.5, 6492.0, 176648783
2017-11-15 05:00:00, 6492.0, 6695.5, 6305.0, 6533.5, 97078573
2017-11-16 05:00:00, 6533.5, 7290.0, 6526.5, 7200.0, 172225927
2017-11-17 05:00:00, 7200.0, 8183.0, 6921.0, 7994.0, 177304169
2017-11-18 05:00:00, 7994.0, 8227.5, 7640.5, 7781.5, 163760452
2017-11-19 05:00:00, 7781.5, 8060.5, 7527.5, 7963.0, 79880492
2017-11-20 05:00:00, 7963.0, 8339.5, 7821.5, 8255.5, 80839567
2017-11-21 05:00:00, 8255.5, 8458.5, 8113.0, 8378.0, 72786845
2017-11-22 05:00:00, 8378.0, 8515.0, 7717.0, 8109.0, 169661336
2017-11-23 05:00:00, 8109.0, 8372.0, 8066.0, 8257.5, 95058134
2017-11-24 05:00:00, 8257.5, 8352.5, 7903.5, 7918.0, 108435192
2017-11-25 05:00:00, 7918.0, 8298.0, 7717.0, 8195.0, 119410494
2017-11-26 05:00:00, 8195.0, 8885.0, 8113.5, 8855.5, 111082875
2017-11-27 05:00:00, 8855.5, 9637.5, 8823.5, 9407.0, 158304194
2017-11-28 05:00:00, 9407.0, 9900.0, 9408.0, 9850.5, 123546247
2017-11-29 05:00:00, 9850.5, 10171.0, 9666.5, 10024.5, 101267711
2017-11-30 05:00:00, 10024.5, 11800.0, 8963.5, 9983.0, 391360976
2017-12-01 05:00:00, 9983.0, 10948.5, 8945.0, 10001.5, 317789314
